Ref_code,Year,Species,Full_ref,DOI
Nolte2003,2003,Neisseria meningitidis,"Nolte O, Müller M, Reitz S, Ledig S, Ehrhard I, Sonntag HG. Description of new mutations in the rpoB gene in rifampicin-resistant Neisseria meningitidis selected in vitro in a stepwise manner. J Med Microbiol. 2003 Dec;52(Pt 12):1077-1081. doi: 10.1099/jmm.0.05371-0. PMID: 14614066.",https://doi.org/10.1099/jmm.0.05371-0
ONeill2006,2006,Staphylococcus aureus,"O’Neill, A. J., Huovinen, T., Fishwick, C. W. G. & Chopra, I. Molecular genetic and structural modeling studies of Staphylococcus aureus RNA polymerase and the fitness of rifampin resistance genotypes in relation to clinical prevalence. Antimicrob. Agents Chemother. 50, 298–309 (2006)",https://doi.org/10.1128/AAC.50.1.298–309.2006
Obata2006,2006,Mycobacterium avium,"Obata, S., Zwolska, Z., Toyota, E., Kudo, K., Nakamura, A., Sawai, T., ... & Kirikae, T. (2006). Association of rpoB mutations with rifampicin resistance in Mycobacterium avium. International journal of antimicrobial agents, 27(1), 32-39.",https://doi.org/10.1128/aac.38.10.2380
Ohno1996,1996,Mycobacterium tuberculosis,"Ohno, H., Koga, H., Kohno, S., Takayoshi, T. & Hara, K. Relationship between rifampin MICs for and rpoB mutations of Mycobacterium tuberculosis strains isolated in Japan. Antimicrob. Agents Chemother. 40, 1053–1056 (1996)",https://doi.org/10.1128/AAC.40.4.1053
Ovchinnikov1981,1981,Escherichia coli,"Ovchinnikov, Y. A. et al. Primary structure of Escherichia coli RNA polymerase. Nucleotide substitution in the β subunit gene of the rifampicin resistant rpoB255 mutant. Mol. Gen. Genet. 184, 536–538 (1981)",https://doi.org/10.1007/BF00352535
Padayachee1999,1999,Streptococcus pneumoniae,"Padayachee T, Klugman KP. Molecular basis of rifampin resistance in Streptococcus pneumoniae. Antimicrob Agents Chemother. 1999 Oct;43(10):2361-5. doi: 10.1128/AAC.43.10.2361. PMID: 10508007; PMCID: PMC89483.",https://doi.org/10.1128/aac.43.10.2361
Pang2013,2013,Mycobacterium tuberculosis,"Pang, Y. et al. Study of the rifampin monoresistance mechanism in Mycobacterium tuberculosis. Antimicrob. Agents Chemother. 57, 893–900 (2013)",https://doi.org/10.1128/AAC.01024-12
Perkins2008a,2008,Bacillus subtilis,"Perkins, A. E., & Nicholson, W. L. (2008). Uncovering new metabolic capabilities of Bacillus subtilis using phenotype profiling of rifampin-resistant rpoB mutants.",https://doi.org/10.1128/JB.00901-07
Perkins2008b,2008,Bacillus subtilis,"Perkins, A. E., Schuerger, A. C., & Nicholson, W. L. (2008). Isolation of rpoB mutations causing rifampicin resistance in Bacillus subtilis spores exposed to simulated martian surface conditions. Astrobiology, 8(6), 1159-1167.",https://doi.org/10.1089/ast.2007.0224
Petry2020,2020,Rhodococcus equi,"Petry, S., Sévin, C., Kozak, S., Foucher, N., Laugier, C., Linster, M., ... & Tapprest, J. (2020). Relationship between rifampicin resistance and RpoB substitutions of Rhodococcus equi strains isolated in France. Journal of Global Antimicrobial Resistance, 23, 137-144.",https://doi.org/10.1016/j.jgar.2020.08.006
Ramaswamy1998,1998,Mycobacterium tuberculosis,"Ramaswamy S, Musser JM. Molecular genetic basis of antimicrobial agent resistance in Mycobacterium tuberculosis: 1998 update. Tuber Lung Dis. 1998;79(1):3-29. doi: 10.1054/tuld.1998.0002. PMID: 10645439.",https://doi.org/10.1054/tuld.1998.0002
Reynolds2000,2000,Escherichia coli,"Reynolds, Mary G. “Compensatory Evolution in Rifampin-Resistant Escherichia Coli.” Genetics 156, no. 4 (December 1, 2000): 1471–81.",https://doi.org/10.1093/genetics/156.4.1471
Rothstein2008,2008,Chlamydia pneumoniae,"Rothstein, David M, Robert J Suchland, Minsheng Xia, Christopher K Murphy, and Walter E Stamm. “Rifalazil Retains Activity Against Rifampin-Resistant Mutants of Chlamydia Pneumoniae.” The Journal of Antibiotics 61, no. 8 (August 2008): 489–95.",https://doi.org/10.1038/ja.2008.65
Rupp2008,2008,Chlamydia trachomatis,"Rupp, Jan, Werner Solbach, and Jens Gieffers. “Variation in the Mutation Frequency Determining Quinolone Resistance in Chlamydia Trachomatis Serovars L2 and D.” Journal of Antimicrobial Chemotherapy 61, no. 1 (January 1, 2008): 91–94.",https://doi.org/10.1093/jac/dkm447
Serr2001,2001,Legionella  spp.,"Serr A, Koenig BF, Heep M, Nielsen K, Bangsborg JM. Update on rifampin resistance in the Legionellaceae. Antimicrob Agents Chemother. 2001 Jul;45(7):2181-2. doi: 10.1128/AAC.45.7.2181-2182.2001. PMID: 11441826; PMCID: PMC90628.",https://doi.org/10.1128/aac.45.7.2181-2182.2001
Siskawati2018,2018,Mycobacterium leprae,"Siskawati, Y., Effendi, E. H., Legiawati, L., & Menaldi, S. L. (2018). Poor treatment compliance leads to a higher mutation for rifampicin resistance in multibacillary leprosy patients. Medical Journal of Indonesia, 27(4), 237-43.",https://doi.org/10.13181/mji.v27i4.1916
Siu2011,2011,Mycobacterium tuberculosis,"Siu, Gilman Kit Hang, Ying Zhang, Terrence C. K. Lau, Ricky W. T. Lau, Pak-Leung Ho, Wing-Wai Yew, Stephen K. W. Tsui, Vincent C. C. Cheng, Kwok-Yung Yuen, and Wing-Cheong Yam. “Mutations Outside the Rifampicin Resistance-Determining Region Associated with Rifampicin Resistance in Mycobacterium Tuberculosis.” Journal of Antimicrobial Chemotherapy 66, no. 4 (April 1, 2011): 730–33.",https://doi.org/10.1093/jac/dkq519
Skoczynska2009,2009,Neisseria meningitidis,"Skoczynska A, Ruckly C, Hong E, Taha MK. Molecular characterization of resistance to rifampicin in clinical isolates of Neisseria meningitidis. Clin Microbiol Infect. 2009 Dec;15(12):1178-81. doi: 10.1111/j.1469-0691.2009.02783.x. Epub 2009 May 16. PMID: 19456827.",https://doi.org/10.1111/j.1469-0691.2009.02783.x
Stamm2001,2001,Treponema spp,"Stamm LV, Bergen HL, Shangraw KA. Natural rifampin resistance in Treponema spp. correlates with presence of N531 in RpoB rif cluster i. Antimicrob Agents Chemother. 2001 Oct;45(10):2973-4. doi: 10.1128/AAC.45.10.2973-2974.2001. PMID: 11702716; PMCID: PMC90769.",https://doi.org/10.1128/AAC.45.10.2973-2974.2001
Stefanelli2001,2001,Neisseria meningitidis,"Stefanelli, P. et al. Rifampicin-resistant meningococci causing invasive disease: detection of point mutations in the rpoB gene and molecular characterization of the strains. J. Antimicrob. Chemother. 47, 219–222 (2001)",https://doi.org/10.1093/jac/47.2.219
StutzmannMeier2003,2003,Streptococcus pneumoniae,Stutzmann-Meier et al. Low-Level Resistance to Rifampin in Streptococcus pneumoniae. Antimicrobial Agents and Chemotherapy 47:863-868 (2003).,https://doi.org/10.1128/AAC.47.3.863-868.2003
Suchland2005,2005,Chlamydia trachomatis,"Suchland, Robert J., Agnès Bourillon, Erick Denamur, Walter E. Stamm, and David M. Rothstein. “Rifampin-Resistant RNA Polymerase Mutants of Chlamydia Trachomatis Remain Susceptible to the Ansamycin Rifalazil.” Antimicrobial Agents and Chemotherapy 49, no. 3 (March 2005): 1120–26.",https://doi.org/10.1128/AAC.49.3.1120-1126.2005
Sun2019,2019,Riemerella anatipestifer,"Sun, J., Zhu, D., Xu, J. et al. Rifampin resistance and its fitness cost in Riemerella anatipestifer. BMC Microbiol 19, 107 (2019).",https://doi.org/10.1186/s12866-019-1478-7
Taniguchi1996,1996,Mycobacterium tuberculosis,"Taniguchi, H., Aramaki, H., Nikaido, Y., Mizuguchi, Y., Nakamura, M., Koga, T., & Yoshida, S. I. (1996). Rifampicin resistance and mutation of the rpoB gene in Mycobacterium tuberculosis. FEMS microbiology letters, 144(1), 103-108.",https://doi.org/10.1101/gad.4.9.1623
Tavanaee2017,2017,Mycobacterium tuberculosis,"Ashna, H., Kaffash, A., Khaledi, A., & Ghazvini, K. (2018). Mutations of rpob gene associated with Rifampin resistance among Mycobacterium Tuberculosis isolated in Tuberculosis Regional Reference Laboratory in Northeast of Iran during 2015-2016. Ethiopian journal of health sciences, 28(3), 299-304.",https://doi.org/10.4314/ejhs.v28i3.7
Telenti1993,1993,Mycobacterium tuberculosis,"Telenti, A. et al. Detection of rifampicin-resistance mutations in Mycobacterium tuberculosis. Lancet 341, 647–650 (1993)",https://doi.org/10.1128/AAC.38.6.1256
Turner2023,2023,Enterococcus faecium,"A.M. Turner, L. Li, I.R. Monk, J.Y.H. Lee, D.J. Ingle, S. Duchene, N.L. Sherry, T.P. Stinear, J.C. Kwong, C.L. Gorrie, B.P. Howden, G.P. Carter
medRxiv 2023.03.01.23286614.",https://doi.org/10.1101/2023.03.01.23286614
Urusova2022,2022,Enterococcus faecalis,"Urusova DV, Merriman JA, Gupta A, Chen L, Mathema B, Caparon MG, Khader SA. Rifampin resistance mutations in the rpoB gene of Enterococcus faecalis impact host macrophage cytokine production. Cytokine. 2022 Mar;151:155788. doi: 10.1016/j.cyto.2021.155788. Epub 2022 Jan 11. Erratum in: Cytokine. 2022 Apr;152:155845. PMID: 35030469.",https://doi.org/10.1016/j.cyto.2021.155788
Vedithi2018,2018,Mycobacterium leprae,"Vedithi, S.C., Malhotra, S., Das, M. et al. Structural Implications of Mutations Conferring Rifampin Resistance in Mycobacterium leprae. Sci Rep 8, 5016 (2018).",https://doi.org/10.1038/s41598-018-23423-1
Villar2011,2011,Staphylococcus aureus,"Villar et al. Epidemiological and molecular aspects of rifampicin-resistant Staphylococcus aureus isolated from wounds, blood and respiratory samples. Journal of Antimicrobial Chemotherapy, Volume 66, Issue 5, May 2011, Pages 997–1000.",https://doi.org/10.1093/jac/dkr059
Vogler2002,2002,Bacillus anthracis/Bacillus cereus,"Vogler AJ, Busch JD, Percy-Fine S, Tipton-Hunton C, Smith KL, Keim P. Molecular analysis of rifampin resistance in Bacillus anthracis and Bacillus cereus. Antimicrob Agents Chemother. 2002 Feb;46(2):511-3. doi: 10.1128/AAC.46.2.511-513.2002. PMID: 11796364; PMCID: PMC127050.",https://doi.org/10.1128/aac.46.2.511-513.2002
Vogwill2016,2016,Pseudomonas spp,"Vogwill T, Kojadinovic M, MacLean RC. Epistasis between antibiotic resistance mutations and genetic background shape the fitness effect of resistance across species of Pseudomonas. Proc Biol Sci. 2016 May 11;283(1830):20160151. doi: 10.1098/rspb.2016.0151. PMID: 27170722; PMCID: PMC4874708.",https://doi.org/10.1098/rspb.2016.0151
Wayne2015,2015,Bacillus subtilis,"Wayne L. Nicholson, Roy Park, Anaerobic growth of Bacillus subtilis alters the spectrum of spontaneous mutations in the rpoB gene leading to rifampicin resistance, FEMS Microbiology Letters, Volume 362, Issue 24, December 2015, fnv213, https://doi.org/10.1093/femsle/fnv213",https://doi.org/10.1093/femsle/fnv213
Wi2018,2018,Staphylococcus epidermidis,"Wi, Y. M., Greenwood-Quaintance, K. E., Brinkman, C. L., Lee, J. Y., Howden, B. P., & Patel, R. (2018). Rifampicin resistance in Staphylococcus epidermidis: molecular characterisation and fitness cost of rpoB mutations. International Journal of Antimicrobial Agents, 51(5), 670-677.",https://doi.org/10.1016/j.ijantimicag.2017.12.019
Wichelhaus2002,2002,Staphylococcus aureus,"Wichelhaus et al. Biological Cost of Rifampin Resistance from the Perspective of Staphylococcus aureus. Antimicrobial Agents and Chemotherapy 46, No. 11 (2020),",https://doi.org/10.1128/AAC.46.11.3381-3385.2002
Williams1994,1994,"Mycobacterium tuberculosis, M. leprae, M. avium, M. africanum","Williams, D. L. et al. Characterization of rifampin-resistance in pathogenic mycobacteria. Antimicrob. Agents Chemother. 38, 2380–2386 (1994)",https://doi.org/10.1128/AAC.38.10.2380
Williams1998,1998,Mycobacterium tuberculosis,"Williams DL, Spring L, Collins L, Miller LP, Heifets LB, Gangadharam PR, Gillis TP. Contribution of rpoB mutations to development of rifamycin cross-resistance in Mycobacterium tuberculosis. Antimicrob Agents Chemother. 1998 Jul;42(7):1853-7. doi: 10.1128/AAC.42.7.1853. PMID: 9661035; PMCID: PMC105697.",https://doi.org/10.1128/aac.42.7.1853
Wu2017,2017,Escherichia coli,"Wu, Eugene Y., and Angela K. Hilliker. “Identification of Rifampicin Resistance Mutations in Escherichia Coli, Including an Unusual Deletion Mutation.” Microbial Physiology 27, no. 6 (2017): 356–62.",https://doi.org/10.1159/000484246
Xu2005,2005,Escherichia coli,"Xu, M., Zhou, Y. N., Goldstein, B. P. & Jin., D. J. Cross-resistance of Escherichia coli RNA polymerases conferring rifampin resistance to different antibiotics. Antimicrob. Agents Chemother. 187, 2783–2792 (2005)",https://doi.org/10.1128/JB.187.8.2783-2792.2005
Xu2021,2021,Mycobacterium tuberculosis,"Xu G, Liu H, Jia X, Wang X, Xu P. Mechanisms and detection methods of Mycobacterium tuberculosis rifampicin resistance: The phenomenon of drug resistance is complex. Tuberculosis (Edinb). 2021 May;128:102083. doi: 10.1016/j.tube.2021.102083. Epub 2021 May 8. PMID: 33975262.",https://doi.org/10.1016/j.tube.2021.102083
Yang1998,1998,Mycobacterium tuberculosis,"Yang, B. et al. Relationship between antimycobacterial activities of rifampicin, rifabutin and KRM-1648 and rpoB mutations of Mycobacterium tuberculosis. J. Antimicrob. Chemother. 42, 621–628 (1998)",https://doi.org/10.1093/jac/42.5.621
Yolande2009,2009,Mycobacterium tuberculosis,"Yolande Hauck, Michel Fabre, Gilles Vergnaud, Charles Soler, Christine Pourcel, Comparison of two commercial assays for the characterization of rpoB mutations in Mycobacterium tuberculosis and description of new mutations conferring weak resistance to rifampicin, Journal of Antimicrobial Chemotherapy, Volume 64, Issue 2, August 2009, Pages 259–262",https://doi.org/10.1093/jac/dkp204
Zeibell2007,2007,Bacillus anthracis,"Zeibell K, Aguila S, Yan Shi V, Chan A, Yang H, Miller JH. Mutagenesis and repair in Bacillus anthracis: the effect of mutators. J Bacteriol. 2007 Mar;189(6):2331-8. doi: 10.1128/JB.01656-06. Epub 2007 Jan 12. Erratum in: J Bacteriol. 2007 May;189(10):3932. PMID: 17220233; PMCID: PMC1899402.",https://doi.org/10.1128/JB.01656-06
Zeng2021,2021,Mycobacterium tuberculosis,"Zeng M-C, Jia Q-J, Tang L-M. rpoB gene mutations in rifampin-resistant Mycobacterium tuberculosis isolates from rural areas of Zhejiang, China. Journal of International Medical Research. 2021;49(3). doi:10.1177/0300060521997596",https://doi.org/10.1177/0300060521997596
Zhou2020,2020,Acinetobacter baylyi,"Zhou, H., Zhang, L., Xu, Q. et al. The mismatch repair system (mutS and mutL) in Acinetobacter baylyi ADP1. BMC Microbiol 20, 40 (2020). https://doi.org/10.1186/s12866-020-01729-3",https://doi.org/10.1186/s12866-020-01729-3
